UserID,Name,Email,Age,Role,Status
HE150001,Phan Ngọc Bình,binhphan59@gmail.com,20,Sinh viên,active
HE150002,Vũ Gia Nga,ngavu81@gmail.com,21,Sinh viên,active
HE150003,Ngô Văn Bình,binhngo841@fpt.edu.vn,19,Sinh viên,offline
HE150004,Trần Hữu Bình,binhtran969@fpt.edu.vn,21,Sinh viên,offline
HE150005,Phan Đức Sơn,sonphan879@fpt.edu.vn,23,Sinh viên,active
HE150006,Dương Đức Dũng,dungduong991@fpt.edu.vn,20,Sinh viên,active
HE150007,Đỗ Xuân Nguyên,nguyendo139@fpt.edu.vn,19,Sinh viên,offline
HE150008,Lý Văn Cường,cuongly188@fpt.edu.vn,21,Sinh viên,active
HE150009,Ngô Văn Trang,trangngo487@gmail.com,18,Sinh viên,offline
HE150010,Đỗ Đức Sơn,sondo651@fpt.edu.vn,24,Sinh viên,active
HE150011,Lý Văn Long,longly263@fpt.edu.vn,21,Sinh viên,active
HE150012,Đỗ Minh Hà,hado256@gmail.com,24,Sinh viên,offline
HE150013,Phan Gia Sơn,sonphan528@fpt.edu.vn,24,Sinh viên,offline
HE150014,Võ Thành Hà,havo723@gmail.com,23,Sinh viên,offline
HE150015,Đỗ Thị Cường,cuongdo682@fpt.edu.vn,24,Sinh viên,offline
HE150016,Lý Quang Anh,anhly522@fpt.edu.vn,22,Sinh viên,offline
HE150017,Võ Ngọc Trang,trangvo967@fpt.edu.vn,23,Sinh viên,active
HE150018,Phan Thị Lan,lanphan169@gmail.com,23,Sinh viên,offline
HE150019,Phan Đức Bách,bachphan273@gmail.com,18,Sinh viên,active
HE150020,Hồ Xuân Anh,anhho13@fpt.edu.vn,24,Sinh viên,offline
HE150021,Bùi Gia Trang,trangbui559@fpt.edu.vn,20,Sinh viên,active
HE150022,Vũ Ngọc Khoa,khoavu900@fpt.edu.vn,18,Sinh viên,offline
HE150023,Huỳnh Hữu Linh,linhhuynh168@fpt.edu.vn,21,Sinh viên,offline
HE150024,Đỗ Thành Dũng,dungdo46@fpt.edu.vn,18,Sinh viên,active
HE150025,Vũ Xuân Hoa,hoavu821@fpt.edu.vn,24,Sinh viên,active
HE150026,Phan Minh Hương,huongphan239@fpt.edu.vn,21,Sinh viên,offline
HE150027,Bùi Hải Hà,habui987@fpt.edu.vn,22,Sinh viên,active
HE150028,Bùi Thành Khoa,khoabui754@fpt.edu.vn,19,Sinh viên,active
HE150029,Phan Thành Bách,bachphan238@fpt.edu.vn,22,Sinh viên,active
HE150030,Hồ Hải Thảo,thaoho486@fpt.edu.vn,23,Sinh viên,offline
HE150031,Hoàng Hoàng Sơn,sonhoang303@gmail.com,20,Sinh viên,active
HE150032,Ngô Thanh Anh,anhngo805@fpt.edu.vn,22,Sinh viên,offline
HE150033,Lý Thu Hà,haly535@gmail.com,19,Sinh viên,offline
HE150034,Bùi Hoàng Hà,habui336@gmail.com,23,Sinh viên,active
HE150035,Bùi Hải Nga,ngabui489@gmail.com,23,Sinh viên,offline
HE150036,Dương Đức Cường,cuongduong147@gmail.com,23,Sinh viên,active
HE150037,Đỗ Đức Hà,hado563@fpt.edu.vn,20,Sinh viên,offline
HE150038,Nguyễn Quang Nga,nganguyen559@gmail.com,23,Sinh viên,active
HE150039,Phạm Hải Lan,lanpham212@fpt.edu.vn,20,Sinh viên,active
HE150040,Trần Đức Lan,lantran706@gmail.com,20,Sinh viên,offline
HE150041,Bùi Gia Linh,linhbui175@gmail.com,20,Sinh viên,offline
HE150042,Lý Đình Lan,lanly224@fpt.edu.vn,23,Sinh viên,active
HE150043,Đỗ Hoàng Dũng,dungdo615@gmail.com,18,Sinh viên,active
HE150044,Võ Minh Dũng,dungvo501@fpt.edu.vn,24,Sinh viên,active
HE150045,Đỗ Thành Hà,hado104@fpt.edu.vn,18,Sinh viên,active
HE150046,Phan Đình Hà,haphan312@fpt.edu.vn,21,Sinh viên,active
HE150047,Trần Hữu Nguyên,nguyentran548@fpt.edu.vn,19,Sinh viên,active
HE150048,Phạm Ngọc Linh,linhpham930@gmail.com,21,Sinh viên,active
HE150049,Võ Hữu Tùng,tungvo899@gmail.com,24,Sinh viên,offline
HE150050,Bùi Ngọc Bình,binhbui236@gmail.com,19,Sinh viên,active
HE150051,Nguyễn Thị Thảo,thaonguyen441@fpt.edu.vn,22,Sinh viên,offline
HE150052,Nguyễn Gia Khoa,khoanguyen828@fpt.edu.vn,22,Sinh viên,active
HE150053,Phạm Xuân Dũng,dungpham35@gmail.com,23,Sinh viên,offline
HE150054,Phạm Thành Khánh,khanhpham16@fpt.edu.vn,19,Sinh viên,offline
HE150055,Lý Thị Nguyên,nguyenly49@fpt.edu.vn,22,Sinh viên,active
HE150056,Lê Hoàng Hà,hale792@gmail.com,24,Sinh viên,active
HE150057,Dương Đức Huy,huyduong878@gmail.com,18,Sinh viên,active
HE150058,Ngô Gia Dũng,dungngo424@fpt.edu.vn,22,Sinh viên,active
HE150059,Lý Thu Sơn,sonly427@gmail.com,19,Sinh viên,offline
HE150060,Nguyễn Hải Vy,vynguyen683@gmail.com,23,Sinh viên,active
HE150061,Võ Thị Tuấn,tuanvo487@gmail.com,20,Sinh viên,active
HE150062,Đỗ Minh Trang,trangdo633@gmail.com,18,Sinh viên,active
HE150063,Võ Ngọc Nguyên,nguyenvo841@gmail.com,24,Sinh viên,active
HE150064,Hoàng Thanh Anh,anhhoang145@gmail.com,20,Sinh viên,offline
HE150065,Hoàng Đức Dũng,dunghoang435@fpt.edu.vn,24,Sinh viên,active
HE150066,Đặng Văn Vy,vydang151@fpt.edu.vn,19,Sinh viên,active
HE150067,Võ Hữu Vy,vyvo209@fpt.edu.vn,18,Sinh viên,active
HE150068,Lê Đức Hương,huongle47@gmail.com,22,Sinh viên,active
