UserID,Name,Email,Age,Role,Status
GV000001,Huỳnh Hoàng Phong,phonghuynh429@fpt.edu.vn,40,Giảng viên,offline
GV000002,Ngô Thanh Nguyên,nguyenngo207@fpt.edu.vn,43,Giảng viên,active
GV000003,Hoàng Văn Nguyên,nguyenhoang189@fpt.edu.vn,54,Giảng viên,offline
GV000004,Đỗ Hoàng Tùng,tungdo834@fpt.edu.vn,52,Giảng viên,offline
GV000005,Đỗ Thanh Hương,huongdo487@fpt.edu.vn,39,Giảng viên,active
GV000006,Hồ Thu Huy,huyho210@fpt.edu.vn,34,Giảng viên,offline
GV000007,Bùi Văn Hương,huongbui58@fpt.edu.vn,43,Giảng viên,offline
GV000008,Vũ Hoàng Hương,huongvu895@fpt.edu.vn,51,Giảng viên,active
GV000009,Nguyễn Thu Trang,trangnguyen290@fpt.edu.vn,32,Giảng viên,active
GV000010,Ngô Xuân Nga,ngango327@fpt.edu.vn,46,Giảng viên,offline
GV000011,Đặng Thành Dũng,dungdang20@fpt.edu.vn,39,Giảng viên,active
GV000012,Đỗ Đình Sơn,sondo165@fpt.edu.vn,45,Giảng viên,active
GV000013,Bùi Thu Dũng,dungbui981@fpt.edu.vn,58,Giảng viên,active
GV000014,Ngô Minh Vy,vyngo425@fpt.edu.vn,54,Giảng viên,active
GV000015,Nguyễn Quang Vy,vynguyen476@fpt.edu.vn,50,Giảng viên,active
GV000016,Võ Ngọc Huy,huyvo6@fpt.edu.vn,45,Giảng viên,offline
GV000017,Hoàng Hải Bách,bachhoang687@fpt.edu.vn,47,Giảng viên,active
GV000018,Ngô Văn Vy,vyngo880@fpt.edu.vn,36,Giảng viên,offline
GV000019,Phan Gia Phong,phongphan669@fpt.edu.vn,53,Giảng viên,offline
GV000020,Phạm Ngọc Nguyên,nguyenpham606@fpt.edu.vn,45,Giảng viên,offline
GV000021,Đỗ Thu Trang,trangdo822@fpt.edu.vn,59,Giảng viên,offline
GV000022,Lê Quang Hà,hale571@fpt.edu.vn,47,Giảng viên,offline
GV000023,Hồ Xuân Thảo,thaoho291@fpt.edu.vn,43,Giảng viên,offline
